,First name,Last name,Research Area
152,Chanda,Elbert,"('Agricultural education, ', 'Women, ', 'Diversity, Gender and Cultural, ', 'Cultural pluralism, ', 'Leadership')"
153,Rene,Elms,"('Chemical processes--Simulation methods, ', 'Mathematical optimization, ', 'Natural gas, ', 'Biomass energy, ', 'Chemical processes, ', 'Chemical processes--Computer simulation')"
154,Ayman,Elzohairy,"('Prestressed concrete beams--Testing, ', 'Cement composites, ', 'Post-tensioned prestressed concrete construction, ', 'Structural frames--Models, ', 'Fibrous composites')"
155,Marielle,Engelen,"('Exercise, ', 'Lungs--Diseases, Obstructive, ', 'Nutrition, ', 'Aging, ', 'Proteins--Metabolism, ', 'Cognition, ', 'Chronic diseases, ', 'Muscles')"
156,Prasad,Enjeti,"('Power electronics, ', 'Renewable energy sources, ', 'Solar energy')"
157,Florina,Erbeli,"('Developmental reading, ', 'Quantitative research, ', 'Reading disability')"
158,Margaret,Ezell,"('Printing, ', 'Manuscripts, ', 'Women writers')"
159,Nancy,Fahrenwald,"('Health behavior, ', 'Rural health, ', 'Chronic diseases, ', 'Tobacco, ', 'Donation of organs, tissues, etc., ', 'Health risk communication, ', 'Indians of North America, ', 'Chronic renal failure')"
160,Ashleigh,Faris,"('Forensic entomology, ', 'Biological pest control agents, ', 'Introduced organisms, ', 'Forensic sciences, ', 'Entomology')"
161,Charlotte,Farris,"('Emotional intelligence, ', 'Educational psychology, ', 'Curriculum planning, ', 'Educational tests and measurements, ', 'Educational assessment, ', 'Internal medicine, ', 'Leadership')"
162,Sara,Fehr,"('Intimate partner violence, ', 'Human sexuality, ', 'Sex')"
163,Alva,Ferdinand,"('Medical policy, ', 'Rural health, ', 'Law, ', 'Econometric models')"
164,Thomas,Ferris,"('Human information processing, ', 'Engineering, ', 'Industrial safety, ', 'Human-computer interaction')"
165,Sherecce,Fields,"('Substance abuse, ', 'Health behavior, ', 'Obesity, ', 'Impulsive personality')"
166,Rebecca,Fischer,"('global health, ', 'Communicable diseases, ', 'molecular pathogenesis, ', 'Tropical medicine')"
167,Jessica,Fitzsimmons,"('Inductively coupled plasma mass spectrometry, ', 'Hydrothermal vents, ', 'Metals, ', 'Chemical oceanography, ', 'Gulf of Mexico, ', 'Colloids, ', 'Polar regions, ', 'Isotopes')"
168,Susan,Fortney,"('Malpractice insurance, ', 'Malpractice, ', 'Legal ethics, ', 'Bioethics')"
169,Mark,Fossett,"('Demography, ', 'Spatial systems, ', 'Segregation, ', 'Equality')"
170,Jamie,Foster,"('Forage plants, ', 'Agronomy, ', 'Agronomy--Research, ', 'Forage, ', 'Crops, ', 'Forage plants--Varieties, ', 'Forage plants--Research, ', 'Ruminants--Nutrition')"
171,Margaret,Foster,"('Systematic reviews (Medical research), ', 'Public health, ', 'Public health disparities')"
172,Rhonda,Fowler,"('Mentoring in higher education, ', 'Career development, ', 'Diversity, Gender and Cultural, ', 'Cultural pluralism, ', 'Human Resource Development and African Americans, ', 'Education')"
173,Zackery,Fox,"('Fiscal policy, ', 'Disclosure in accounting, ', 'Taxation')"
174,James,Francis,"('Adaptations, ', 'Horror films, ', 'Queer theory, ', 'Popular culture, ', 'Science fiction')"
175,Tamy,Frank-Cannon,"('Clinical competence, ', 'Anatomy, ', 'Neuroanatomy')"
176,Marcela,Fuentes,"('Fiction, ', 'Creative writing, ', 'Latinx Fiction, ', 'Creative nonfiction')"
177,Stephanie,Fulton,"('Evidence-based medicine',)"
178,Dana,Gaddy,"('Reproduction, ', 'Bones, ', 'Musculoskeletal system--Diseases, ', 'Aging--Physiological aspects, ', 'Diseases--Animal models')"
179,Akhilesh,Gaharwar,"('Biomedical materials, ', 'Stem cells, ', 'Three-dimensional printing, ', 'Genomics, ', 'Nanotechnology, ', 'Bioengineering')"
180,Cassia,Galvao,"('Social sciences, ', 'Shipping, ', 'Political science, ', 'Economics, ', 'Business logistics, ', 'Supply chain management, ', 'Management')"
181,Murthy,Ganjegunte Keshava,"('Salinity Management, ', 'Salinity, ', 'Water reuse, ', 'Water efficiency')"
182,Jay,Ganz,"('Special education, ', 'Autism spectrum disorders, ', 'People with disabilities--Means of communication, ', 'Autism, ', 'Communication, ', 'Developmental disabilities')"
183,Guillermo,Garcia Sanchez,"('Border 2012: U.S.-Mexico Environmental Program, ', 'Arbitration (International law), ', 'International law, ', 'Comparative law, ', 'International business enterprises--Law and legislation')"
184,Wilford,Gardner,"('Sedimentation and deposition, ', 'Oceanography, ', 'Particle dynamics analysis, ', 'Optical oceanography')"
185,Whitney,Garney,"('Social ecology, ', 'Evaluation research (Social action programs), ', 'System theory, ', 'Public health, ', 'Public health disparities')"
186,F. Gregory,Gause,"('Arabian Peninsula, ', 'Petroleum, ', 'International relations, ', 'Middle East--Persian Gulf Region, ', 'Middle East')"
187,Kerri,Gehring,"('Nutrition, ', 'Hazard Analysis and Critical Control Point (Food safety system), ', 'Beef, ', 'Food--Quality')"
188,Cedric,Geoffroy,"('Spinal cord--Wounds and injuries, ', 'Gastrointestinal system, ', 'Aging, ', 'Axons--Growth, ', 'Neurosciences, ', 'Metabolism--Disorders')"
189,Jordana,George,"('Internet and activism, ', 'Internet--Social aspects, ', 'Management information systems')"
190,Paul,George,"('Civil procedure (International law), ', 'Jurisdiction, ', 'International law, ', 'Civil law')"
191,Theodore,George,"('Continental philosophy, ', 'Hermeneutics, ', 'Aesthetics, ', 'Idealism, German, ', 'Hegel, Georg Wilhelm Friedrich, 1770-1831, ', 'Gadamer, Hans-Georg, 1900-2002, ', 'Hermeneutics--Philosophy, ', 'Ethics')"
192,Holly,Gibbs,"('Developmental biology, ', 'Microscopy, ', 'Multiphoton excitation microscopy')"
193,Erin,Giles,"('Metabolism, ', 'Animal models in research, ', 'Exercise, ', 'Macrophages, ', 'Inflammation, ', 'Breast--Cancer, ', 'Obesity, ', 'Hormones, ', 'Adipose tissues, ', 'Menopause')"
194,Jennifer,Gillett-Kaufman,"('Pests--Integrated control, ', 'Olive industry and trade--By-products, ', 'Mycology, ', 'Plant diseases, ', 'Entomology')"
195,Carly,Gilson,"('Autism spectrum disorders, ', 'School-to-work transition, ', 'people with intellectual disabilities')"
196,Cecilia,Giusti,"('Sustainable development',)"
197,Kevin,Glowacki,"('Historic sites, ', 'Architecture, Domestic, ', 'Archaeology, ', 'Greece')"
198,Tara,Goddard,"('Streets, ', 'Traffic safety, ', 'Traffic regulations, ', 'Equity, ', 'Local transit accessibility, ', 'Autonomous vehicles, ', 'Automobile drivers, ', 'Semantics, ', 'Social justice, ', 'Driver assistance systems, ', 'Pedestrians, ', 'Roads--Design and construction, ', 'Culture, ', 'Mass media--Social aspects, ', 'Cycling')"
199,Molly,Gonzales,"('Curriculum planning, ', 'Instructional systems--Design, ', 'Educational technology, ', 'Teachers--Training of')"
